,Serial,Name,IMEI,Item,Time,Price,CGST,SGST,Round Off,Total
100,55888,Thirumalaiswamy Balasubramanium,864391043064334,Redmi 4GB 64GB Note 9,17-10-2020,12000,1080.0,1080.0,0.0,14160.0
101,70016,Shahbaz Bose,864391042713337,Redmi 4GB 64GB Note 9,17-10-2020,12000,1080.0,1080.0,0.0,14160.0
102,54232,Nilini Wangchuk,867250051829789,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
103,61583,Rangarathnam Varma,867250050854028,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
104,58430,Supriya Mehta,867250052671701,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
105,54617,Sarmad Tashi,867250052674143,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
106,74375,Sammeta Jayaraman,867250051896663,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
107,71212,Manesh Goswami,867250051871187,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
108,78858,Ujjwal Sangyal,867250051880766,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
109,50205,Virasana Jangchup,867250052466102,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
110,55496,Saurin Mehra,867250051794025,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
111,69079,Sarika Kumar,862024058564938,Redmi Note 9 6GB 128GB,17-10-2020,15000,1350.0,1350.0,0.0,17700.0
112,53908,Shrestha Jaiteley,867250052674168,Redmi 4GB 64GB 9 Prime,17-10-2020,10000,900.0,900.0,0.0,11800.0
113,62253,Yavatkar Yadav,862024058609899,Redmi Note 9 6GB 128GB,17-10-2020,15000,1350.0,1350.0,0.0,17700.0
114,54591,Sankait Bhanushali,863118044577373,Redmi 4GB 64GB Note 9 Pro,17-10-2020,14000,1260.0,1260.0,0.0,16520.0
115,73186,Rajani Bhatnagar,864391042722593,Redmi 4GB 64GB Note 9,17-10-2020,12000,1080.0,1080.0,0.0,14160.0
116,73696,Prudvi Ahir,862024058451078,Redmi 4GB Note 9 128GB,17-10-2020,13500,1215.0,1215.0,0.0,15930.0
117,72335,Shiladitya Parekh,864391043074770,Redmi 4GB 64GB Note 9,17-10-2020,12000,1080.0,1080.0,0.0,14160.0
118,54879,Lalith Chatterjee,862024058058675,Redmi 4GB Note 9 128GB,17-10-2020,13500,1215.0,1215.0,0.0,15930.0
119,71817,Jeeri Chattopadhyay,863118048296715,Redmi 4GB 64GB Note 9 Pro,17-10-2020,14000,1260.0,1260.0,0.0,16520.0
120,55162,Muthukaruppan Pal,862851050460263,Redmi 9A 32GB 2GB,17-10-2020,7000,630.0,630.0,0.0,8260.0
121,70025,Chandrashekar Patil,862024059241171,Redmi 4GB Note 9 128GB,17-10-2020,13500,1215.0,1215.0,0.0,15930.0
122,71665,Saini Dhundup,862851050437592,Redmi 9A 32GB 2GB,17-10-2020,7000,630.0,630.0,0.0,8260.0
123,50549,Pashupathy Gupta,863118048239699,Redmi 4GB 64GB Note 9 Pro,17-10-2020,14000,1260.0,1260.0,0.0,16520.0
124,57996,Vijayashree Amin,862851050238941,Redmi 9A 32GB 2GB,17-10-2020,7000,630.0,630.0,0.0,8260.0
125,77709,Nagedwaran Jhadav,867555051933039,Redmi 9A 3GB 32GB,18-10-2020,7500,675.0,675.0,0.0,8850.0
126,55310,Kambli Chavan,864391042810877,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
127,69643,Mondem Rangarajan,864391042741015,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
128,51711,Gunturu Mehta,864391043081353,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
129,64653,Purva Soni,864391042728012,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
130,60552,Dama Ganguly,864391042803377,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
131,50895,Nagin Yangkey,864391042829216,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
132,73012,Varsha Jha,864391043101375,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
133,63692,Shruti Parekh,864391042821338,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
134,79448,Raghuram Passang,864391043078870,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
135,54748,Upendra Bhagawati,864391042757433,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
136,62011,Srimal Paswan,864391042710499,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
137,61473,Ramprakesh Lobo,864391043081254,Redmi 4GB 64GB Note 9,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
138,70604,Palathingal Mistry,863118048608596,Redmi 4GB 64GB Note 9 Pro,18-10-2020,14000,1260.0,1260.0,0.0,16520.0
139,50407,Sucharita Verma,862024058524494,Redmi 4GB Note 9 128GB,18-10-2020,13500,1215.0,1215.0,0.0,15930.0
140,70870,Ramaprasad Sangyal,862024059264017,Redmi 4GB Note 9 128GB,18-10-2020,13500,1215.0,1215.0,0.0,15930.0
141,53556,Giridhar Khando,863118044577894,Redmi 4GB 64GB Note 9 Pro,18-10-2020,14000,1260.0,1260.0,0.0,16520.0
142,79102,Visvakarman Basu,862024058042919,Redmi 4GB Note 9 128GB,18-10-2020,13500,1215.0,1215.0,0.0,15930.0
143,55905,Karapiet Tenzin,868918049002482,Redmi 4GB 9 128GB Prime,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
144,77200,Satyen Rangan,868918047839125,Redmi 4GB 9 128GB Prime,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
145,72820,Talwar Lhamo,868918049038981,Redmi 4GB 9 128GB Prime,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
146,58663,Durmada Yadav,868918046794628,Redmi 4GB 9 128GB Prime,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
147,60450,Shivakumar Malhotra,868918047813765,Redmi 4GB 9 128GB Prime,18-10-2020,12000,1080.0,1080.0,0.0,14160.0
148,64551,Giridhar Ganguly,867555052286890,Redmi 9A 3GB 32GB,19-10-2020,7500,675.0,675.0,0.0,8850.0
149,62147,Zahin Wangchuk,867250051883141,Redmi 4GB 64GB 9 Prime,19-10-2020,10000,900.0,900.0,0.0,11800.0
150,53983,Sampath Chari,867250051837626,Redmi 4GB 64GB 9 Prime,19-10-2020,10000,900.0,900.0,0.0,11800.0
151,59552,Vasi Dolma,867250051267220,Redmi 4GB 64GB 9 Prime,19-10-2020,10000,900.0,900.0,0.0,11800.0
152,63092,Sivasubramanian Chattopadhyay,864782044775219,Redmi 4GB 64GB Note 9 Pro,19-10-2020,14000,1260.0,1260.0,0.0,16520.0
153,78296,Nidhi Namgyal,864782044774394,Redmi 4GB 64GB Note 9 Pro,19-10-2020,14000,1260.0,1260.0,0.0,16520.0
154,62484,Meenan Pillai,864782044774154,Redmi 4GB 64GB Note 9 Pro,19-10-2020,14000,1260.0,1260.0,0.0,16520.0
155,53247,Sohal Ghosh,864782044757894,Redmi 4GB 64GB Note 9 Pro,19-10-2020,14000,1260.0,1260.0,0.0,16520.0
156,76858,Parvin Mehta,864782044777298,Redmi 4GB 64GB Note 9 Pro,19-10-2020,14000,1260.0,1260.0,0.0,16520.0
157,62236,Lokesh Parekh,867936046679061,Redmi 4GB 128GB 9i,19-10-2020,9300,837.0,837.0,-4.0,10974.0
158,62677,Suravinda Parekh,863118048633032,Redmi 4GB 64GB Note 9 Pro,19-10-2020,14000,1260.0,1260.0,0.0,16520.0
159,62515,Vadakke Chattopadhyay,865441042881698,Redmi 3GB 32GB 8A Dual,19-10-2020,8300,747.0,747.0,-4.0,9794.0
160,79627,Pavani Patel,863685057035176,Redmi 4GB 64GB 9,19-10-2020,9000,810.0,810.0,0.0,10620.0
161,70055,Kandadai Pawar,863685058219936,Redmi 4GB 64GB 9,19-10-2020,9000,810.0,810.0,0.0,10620.0
162,72920,Viswanathan Doshi,863118044646475,Redmi 4GB 64GB Note 9 Pro,20-10-2020,14000,1260.0,1260.0,0.0,16520.0
163,76044,Tantry Bhakta,863685053715599,Redmi 4GB 64GB 9,20-10-2020,9000,810.0,810.0,0.0,10620.0
164,68769,Boparai Dhundup,863685057683355,Redmi 4GB 64GB 9,20-10-2020,9000,810.0,810.0,0.0,10620.0
165,64728,Sree Dolma,863540049416895,4GB 64GB Mi A3,20-10-2020,13000,1170.0,1170.0,0.0,15340.0
166,79309,Revati Mistry,864782044788196,Redmi 4GB 64GB Note 9 Pro,20-10-2020,14000,1260.0,1260.0,0.0,16520.0
167,62129,Padmanabhan Dutta,863118040835338,Redmi 4GB Note 9 Pro 128GB,20-10-2020,16000,1440.0,1440.0,0.0,18880.0
168,55370,Balakrishnan Sen,867250050965204,Redmi 4GB 64GB 9 Prime,21-10-2020,10000,900.0,900.0,0.0,11800.0
169,52704,Ragunathan Malhotra,862024059248150,Redmi 4GB Note 9 128GB,21-10-2020,13500,1215.0,1215.0,0.0,15930.0
170,75022,Shailesh Khan,862024058929396,Redmi 4GB Note 9 128GB,21-10-2020,13500,1215.0,1215.0,0.0,15930.0
171,52012,Nizami Yangkey,863685057657292,Redmi 4GB 64GB 9,21-10-2020,9000,810.0,810.0,0.0,10620.0
172,73834,Vishwa Das,864782044695755,Redmi 4GB 64GB Note 9 Pro,21-10-2020,14000,1260.0,1260.0,0.0,16520.0
173,55089,Mayur Lhamo,862185042399648,Redmi 9A 32GB 2GB,22-10-2020,7000,630.0,630.0,0.0,8260.0
174,61075,Chirag Namgyal,863118044535074,Redmi 4GB Note 9 Pro 128GB,22-10-2020,16000,1440.0,1440.0,0.0,18880.0
175,62527,Dosanjh Bhakto,862024059225091,Redmi 4GB Note 9 128GB,22-10-2020,13500,1215.0,1215.0,0.0,15930.0
176,79232,Tina Dolma,864391040161273,Redmi 4GB Note 9 128GB,22-10-2020,13500,1215.0,1215.0,0.0,15930.0
177,67318,Sripadam Jaiteley,864334055843153,Redmi 3GB 32GB 8A Dual,22-10-2020,8300,747.0,747.0,-4.0,9794.0
178,50309,Tirumalesa Singh,864334055073397,Redmi 3GB 32GB 8A Dual,22-10-2020,8300,747.0,747.0,-4.0,9794.0
179,56101,Elango Jaiteley,863685059429138,Redmi 4GB 64GB 9,22-10-2020,9000,810.0,810.0,0.0,10620.0
180,64676,Sidhu Ganguly,864334055091753,Redmi 3GB 32GB 8A Dual,22-10-2020,8300,747.0,747.0,-4.0,9794.0
181,77683,Nitin Das,864334055821035,Redmi 3GB 32GB 8A Dual,22-10-2020,8300,747.0,747.0,-4.0,9794.0
182,73923,Malti Rangdol,864334055840019,Redmi 3GB 32GB 8A Dual,22-10-2020,8300,747.0,747.0,-4.0,9794.0
183,67794,Raghavendran Mitra,863118048723833,Redmi 4GB Note 9 Pro 128GB,22-10-2020,16000,1440.0,1440.0,0.0,18880.0
184,63959,Advani Tambe,864782044777538,Redmi 4GB 64GB Note 9 Pro,23-10-2020,14000,1260.0,1260.0,0.0,16520.0
185,78851,Selvam Kapur,862024059218351,Redmi 4GB Note 9 128GB,23-10-2020,13500,1215.0,1215.0,0.0,15930.0
186,77453,Karapiet Bhagawati,864334055065336,Redmi 3GB 32GB 8A Dual,23-10-2020,8300,747.0,747.0,-4.0,9794.0
187,61743,Kansal Bose,864391040114736,Redmi 4GB Note 9 128GB,24-10-2020,13500,1215.0,1215.0,0.0,15930.0
188,61890,Viswanath Soni,864391040096917,Redmi 4GB Note 9 128GB,24-10-2020,13500,1215.0,1215.0,0.0,15930.0
189,70002,Tirumalesa Sisodiya,864391040102434,Redmi 4GB Note 9 128GB,24-10-2020,13500,1215.0,1215.0,0.0,15930.0
190,59799,Valli Raju,862024059231099,Redmi 4GB Note 9 128GB,24-10-2020,13500,1215.0,1215.0,0.0,15930.0
191,53210,Sarika Bhanushali,862024059240710,Redmi 4GB Note 9 128GB,24-10-2020,13500,1215.0,1215.0,0.0,15930.0
192,75079,Kripa Nayar,864391040099911,Redmi 4GB Note 9 128GB,24-10-2020,13500,1215.0,1215.0,0.0,15930.0
193,72526,Sapthotharan Sen,862024058045573,Redmi 4GB Note 9 128GB,24-10-2020,13500,1215.0,1215.0,0.0,15930.0
194,53057,Pyara Nair,865441042522052,Redmi 3GB 32GB 8A Dual,25-10-2020,8300,747.0,747.0,-4.0,9794.0
195,55964,Suryanarayan Rao,865650052302243,Redmi 9A 3GB 32GB,25-10-2020,7500,675.0,675.0,0.0,8850.0
196,70634,Raji Wangchuk,863540049402119,4GB 64GB Mi A3,26-10-2020,13000,1170.0,1170.0,0.0,15340.0
197,66050,Smitha Sarin,862921048701050,Redmi 4GB 64GB Note 9 Pro,26-10-2020,14000,1260.0,1260.0,0.0,16520.0
198,78112,Veera Khando,864391040082115,Redmi 4GB Note 9 128GB,26-10-2020,13500,1215.0,1215.0,0.0,15930.0
199,77436,Pragalsingh Rabgyal,862024058502219,Redmi 4GB Note 9 128GB,26-10-2020,13500,1215.0,1215.0,0.0,15930.0
200,74261,Sukanya D Costa,864782043817574,Redmi 4GB Note 9 Pro 128GB,26-10-2020,16000,1440.0,1440.0,0.0,18880.0
201,75672,Koganti Rigzin,864264055794454,Redmi 3GB 64GB 8A Dual,26-10-2020,9000,810.0,810.0,0.0,10620.0
202,54001,Snigdha Ahir,863118044406490,Redmi 4GB Note 9 Pro 128GB,26-10-2020,16000,1440.0,1440.0,0.0,18880.0
203,55985,Pankharia Doshi,864264054951519,Redmi 3GB 64GB 8A Dual,26-10-2020,9000,810.0,810.0,0.0,10620.0
204,59431,Vineet Soni,863118044576037,Redmi 4GB Note 9 Pro 128GB,26-10-2020,16000,1440.0,1440.0,0.0,18880.0
